job_title,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting
Data Analyst,USD,134200,134200,United Kingdom,Senior,Full-time,In-person
Machine Learning Engineer,USD,165000,165000,United States,Senior,Full-time,Remote
Data Engineer,USD,132100,132100,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,200000,200000,United States,Mid-level,Full-time,In-person
AI Research Engineer,GBP,30000,36940,United Kingdom,Entry-level,Full-time,Remote
Data Engineer,USD,166000,166000,United States,Senior,Full-time,In-person
Data Engineer,USD,175000,175000,United States,Senior,Full-time,In-person
Data Engineer,USD,190000,190000,United States,Senior,Full-time,In-person
Business Intelligence Engineer,USD,115000,115000,United States,Senior,Full-time,Remote
Data Engineer,USD,201450,201450,United States,Senior,Full-time,Remote
Data Scientist,USD,136742,136742,United States,Senior,Full-time,In-person
Data Analyst,USD,104000,104000,United States,Mid-level,Full-time,In-person
Data Scientist,USD,145000,145000,United States,Mid-level,Full-time,Remote
Machine Learning Engineer,USD,208000,208000,United States,Senior,Full-time,Remote
Research Scientist,USD,125000,125000,United States,Mid-level,Full-time,Remote
Data Scientist,USD,210000,210000,United States,Senior,Full-time,In-person
Data Engineer,USD,129300,129300,United States,Mid-level,Full-time,In-person
Data Engineer,USD,178500,178500,United States,Senior,Full-time,In-person
Data Analyst,USD,94000,94000,United States,Senior,Full-time,Remote
Data Engineer,USD,132320,132320,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,150000,150000,United States,Mid-level,Full-time,In-person
Research Engineer,USD,200000,200000,United States,Senior,Full-time,In-person
Data Engineer,USD,178500,178500,United States,Senior,Full-time,Remote
Data Scientist,USD,220000,220000,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,205600,205600,United States,Senior,Full-time,Remote
Machine Learning Engineer,USD,224000,224000,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,85000,85000,Netherlands,Entry-level,Full-time,Remote
Research Engineer,USD,176000,176000,United States,Senior,Full-time,Remote
Data Analyst,USD,49000,49000,United States,Mid-level,Full-time,In-person
Data Scientist,USD,148800,148800,United States,Senior,Full-time,In-person
Machine Learning Engineer,USD,100000,100000,United States,Mid-level,Full-time,In-person
